,CensusTract,TotalPop,Women,Income,Poverty,Transit,Employed,center_loc
81,36061008300,3929,2395,69303.0,18.5,68.0,2170,[-74.00494701  40.74236816]
82,36061008400,2054,1206,120938.0,15.4,35.8,1309,[-73.98408913  40.75196201]
83,36061008601,2807,1295,142299.0,5.6,35.4,2019,[-73.96137733  40.74039726]
84,36061008602,0,0,,,,0,[-73.96432671  40.74664419]
85,36061008603,4272,2400,142304.0,5.1,25.0,2400,[-73.96437876  40.75352989]
86,36061008700,7159,3330,122569.0,4.6,52.9,5253,[-73.99651857  40.74216868]
87,36061008800,6781,3683,100179.0,7.6,30.6,4894,[-73.97173715  40.74929235]
88,36061008900,5531,2564,89315.0,12.3,52.9,3660,[-74.00289358  40.74456646]
89,36061009000,7306,3878,119196.0,8.9,37.0,5443,[-73.96907449  40.75251333]
90,36061009100,6665,3288,111505.0,13.2,51.6,5071,[-73.99469279  40.74467969]
91,36061009200,1717,895,122379.0,5.4,37.2,1414,[-73.97504029  40.75374838]
92,36061009300,10650,5483,76058.0,24.6,37.8,5648,[-74.00140799  40.74820622]
93,36061009400,15,4,,0.0,0.0,7,[-73.97767912  40.7551434 ]
94,36061009500,3299,1909,145956.0,13.7,39.3,1643,[-73.99307061  40.74724157]
95,36061009600,149,62,135313.0,8.1,26.7,116,[-73.9805053   40.75631532]
96,36061009700,5163,2530,43948.0,16.9,39.9,2432,[-74.00046522  40.7494609 ]
97,36061009800,7654,3890,122331.0,4.1,42.8,5213,[-73.96748948  40.75567709]
98,36061009900,4938,2155,128906.0,7.4,42.5,3738,[-74.00840252  40.74954471]
99,36061010000,1683,939,112098.0,8.5,42.3,1224,[-73.97133083  40.75810886]
100,36061010100,1259,501,159821.0,11.4,41.1,932,[-73.9907619   40.74982184]
101,36061010200,258,108,,8.1,26.5,162,[-73.97415248  40.75943536]
102,36061010300,1841,770,94607.0,8.4,47.8,1398,[-73.99781942  40.75268589]
103,36061010400,982,534,111806.0,7.9,34.7,572,[-73.97756192  40.76073486]
104,36061010601,7259,4311,125488.0,5.5,39.2,3905,[-73.96090866  40.75699439]
105,36061010602,4482,2581,120053.0,4.6,25.5,2991,[-73.95875604  40.7600401 ]
106,36061010800,9116,5254,127109.0,3.8,44.1,5760,[-73.96542047  40.75942177]
107,36061010900,186,113,135750.0,16.7,48.4,135,[-73.9893392   40.75190996]
108,36061011000,7456,4112,103797.0,5.4,49.6,5132,[-73.96259396  40.76137742]
109,36061011100,4680,2301,105750.0,16.1,53.1,3340,[-73.99595233  40.75474381]
110,36061011201,792,472,138250.0,7.4,29.1,550,[-73.97477628  40.76406352]
111,36061011202,287,144,192857.0,4.5,10.3,159,[-73.97185794  40.76259048]
112,36061011203,1166,715,128083.0,10.9,27.1,792,[-73.96853745  40.76118887]
113,36061011300,126,30,82361.0,19.0,44.4,108,[-73.98754882  40.75483519]
114,36061011401,1276,702,197500.0,3.2,37.0,662,[-73.97012567  40.76479575]
115,36061011402,2345,1242,151131.0,4.0,39.1,1233,[-73.96730878  40.76360612]
116,36061011500,3035,1227,86741.0,18.8,45.0,2051,[-73.99428072  40.75721627]
117,36061011600,3076,1754,72152.0,5.4,44.0,1975,[-73.9559694   40.76264499]
118,36061011700,3870,1970,107125.0,12.4,53.2,2781,[-74.0008493   40.76026144]
119,36061011800,9296,5095,125588.0,6.5,34.5,5476,[-73.96066785  40.76545037]
120,36061011900,1068,369,11671.0,55.5,23.9,379,[-73.98590874  40.75727742]
121,36061012000,3158,1836,148833.0,6.4,31.5,1504,[-73.9647559   40.76705552]
122,36061012100,8192,3622,62301.0,9.9,41.8,5750,[-73.99164597  40.75980942]
123,36061012200,3126,1791,156218.0,3.2,17.3,1522,[-73.96777157  40.76832853]
124,36061012400,10402,5615,117225.0,7.1,45.8,5977,[-73.95281634  40.76632986]
125,36061012500,2483,1040,150682.0,8.8,36.4,1873,[-73.9839941   40.75987263]
126,36061012600,12427,7002,112614.0,2.7,43.7,7971,[-73.95848805  40.7684378 ]
127,36061012700,6974,2990,69578.0,12.5,43.7,5139,[-73.98995343  40.76233161]
128,36061012800,6226,3181,175259.0,4.5,40.5,2991,[-73.96149564  40.77152746]
129,36061012900,5755,2125,111290.0,12.5,48.2,4033,[-73.99922356  40.7648404 ]
130,36061013000,3277,1870,244375.0,7.1,19.1,1399,[-73.96442732  40.77276351]
131,36061013100,2775,1322,85195.0,20.0,44.4,1669,[-73.98200055  40.76248504]
132,36061013200,10095,5773,78647.0,7.0,58.9,6839,[-73.95016404  40.76927053]
133,36061013300,4858,2286,81974.0,14.5,50.5,3261,[-73.98775057  40.7645097 ]
134,36061013400,11688,6677,97801.0,14.3,59.4,7484,[-73.95595211  40.77173531]
135,36061013500,6384,3098,62290.0,18.6,41.0,3438,[-73.99523493  40.77047693]
136,36061013600,15880,9337,108587.0,3.1,58.2,9745,[-73.94781301  40.77236864]
137,36061013700,6698,3704,142982.0,8.4,40.0,4030,[-73.98081001  40.76608143]
138,36061013800,13162,7565,118358.0,7.4,63.6,9053,[-73.95347246  40.77489062]
139,36061013900,8252,4338,91952.0,7.3,56.2,5981,[-73.98569221  40.76721827]
140,36061014000,7671,4318,137700.0,6.9,61.2,4276,[-73.958186    40.77606298]
141,36061014200,4467,2605,235455.0,5.9,27.8,2122,[-73.96123765  40.77728431]
142,36061014300,5,5,,100.0,,0,[-73.96602176  40.78231552]
143,36061014401,5228,3047,101750.0,4.1,52.6,2998,[-73.94731986  40.77522342]
144,36061014402,7675,4347,117656.0,5.4,58.8,4372,[-73.94389914  40.77613081]
145,36061014500,5195,2745,161685.0,4.4,50.9,2807,[-73.98270858  40.7689545 ]
146,36061014601,4463,2279,120257.0,3.8,68.8,3135,[-73.95186872  40.77715693]
147,36061014602,7748,4463,97632.0,4.4,70.2,5680,[-73.95070685  40.77882786]
148,36061014700,3161,1652,137328.0,3.0,48.5,2029,[-73.9884365   40.77158356]
149,36061014801,3081,1533,167667.0,4.4,66.7,1831,[-73.95615846  40.7789495 ]
150,36061014802,6751,3643,109493.0,5.1,66.8,4017,[-73.95422451  40.78134849]
151,36061014900,5934,3029,154972.0,5.1,46.6,3239,[-73.98343969  40.7725111 ]
152,36061015001,1952,1025,151625.0,12.4,57.3,924,[-73.95882927  40.78007733]
153,36061015002,5171,3112,156500.0,3.5,49.1,2195,[-73.957301    40.78243787]
154,36061015100,7481,4317,67125.0,21.9,61.2,3497,[-73.99155257  40.7737923 ]
155,36061015200,7574,4402,82308.0,13.1,66.1,3973,[-73.94233159  40.77747433]
156,36061015300,9358,5029,140083.0,4.0,53.0,5380,[-73.98094     40.77520613]
157,36061015400,14693,8353,80803.0,9.2,67.1,8558,[-73.948122    40.78135592]
158,36061015500,10151,5752,106157.0,5.8,64.0,5471,[-73.98910092  40.77878906]
159,36061015601,5408,3001,88620.0,9.7,67.0,4097,[-73.94690383  40.78352614]
160,36061015602,2217,1275,50455.0,21.7,82.2,1073,[-73.94708055  40.78591216]
161,36061015700,9521,4462,122734.0,6.5,63.9,6366,[-73.97950317  40.77751548]
162,36061015801,5799,3281,136750.0,4.8,61.9,3160,[-73.95219386  40.78431983]
163,36061015802,4808,2633,100642.0,5.7,67.5,2966,[-73.95029071  40.78662075]
164,36061015900,9120,4938,117900.0,10.9,73.2,6364,[-73.98592971  40.78018264]
165,36061016001,3861,2055,222222.0,2.0,41.8,1759,[-73.95483381  40.78564061]
166,36061016002,3562,1933,87167.0,11.0,46.6,1730,[-73.95340757  40.78773053]
167,36061016100,6189,3355,126727.0,2.8,65.3,4210,[-73.97691419  40.77986922]
168,36061016200,9195,5126,21577.0,40.1,58.3,2825,[-73.93974577  40.78664253]
169,36061016300,7101,3668,109971.0,8.6,71.0,3820,[-73.98472512  40.78326663]
170,36061016400,6901,3981,33493.0,24.1,66.2,3239,[-73.94549774  40.7880385 ]
171,36061016500,6760,3597,126346.0,6.2,71.2,3973,[-73.97533849  40.78231469]
172,36061016600,7313,3573,35306.0,24.5,71.9,3980,[-73.94847427  40.78939999]
173,36061016700,6468,3403,113276.0,8.0,67.7,3772,[-73.98336423  40.78584761]
174,36061016800,4693,2704,26136.0,37.5,69.9,1496,[-73.95053036  40.79123486]
175,36061016900,7864,4317,107401.0,7.5,73.9,4837,[-73.97258302  40.78545608]
176,36061017000,7824,4335,30711.0,30.1,82.4,3259,[-73.94251213  40.79050235]
177,36061017100,9135,4671,115331.0,8.4,77.7,5855,[-73.97964362  40.78816045]
178,36061017200,5655,2580,35017.0,22.5,72.5,2578,[-73.94510853  40.79431681]
179,36061017300,8486,4732,113750.0,3.9,73.6,5134,[-73.97111624  40.78826999]
180,36061017401,4127,2217,21435.0,36.6,68.4,1492,[-73.94800083  40.79480615]
181,36061017402,2309,1273,37426.0,29.1,66.4,987,[-73.94684657  40.79668445]
182,36061017500,10840,5631,137344.0,3.5,71.3,5915,[-73.97799101  40.79057804]
183,36061017700,9522,5846,77957.0,17.7,66.3,4793,[-73.96975675  40.7902989 ]
184,36061017800,3825,2161,32896.0,24.6,69.8,1869,[-73.93325249  40.79415465]
185,36061017900,9064,5118,75997.0,10.8,71.3,5067,[-73.97564555  40.79325301]
186,36061018000,8275,4553,31842.0,25.7,79.1,3529,[-73.93873599  40.79529011]
187,36061018100,9008,4881,70075.0,7.4,69.7,4265,[-73.96791171  40.79232857]
188,36061018200,7206,3638,23451.0,43.0,82.7,2868,[-73.94230369  40.79748033]
189,36061018300,8232,4443,100956.0,6.4,67.4,5702,[-73.97436977  40.79564651]
190,36061018400,7796,4309,25581.0,33.2,70.3,2946,[-73.94553525  40.79891631]
191,36061018500,5174,2975,91776.0,7.2,71.8,2750,[-73.96546653  40.79437416]
192,36061018600,7310,4299,24769.0,44.4,80.6,2407,[-73.94930879  40.7993693 ]
193,36061018700,8310,4130,110385.0,12.0,60.4,5158,[-73.97288607  40.79843918]
194,36061018800,5452,2595,29146.0,29.7,71.6,2292,[-73.93767179  40.79712882]
195,36061018900,12825,8020,28158.0,36.0,75.7,4805,[-73.96483718  40.79732759]
196,36061019000,3194,1696,58750.0,17.7,78.0,1547,[-73.94793767  40.8017987 ]
197,36061019100,9545,5438,83188.0,10.2,70.0,6057,[-73.97064391  40.80104856]
198,36061019200,4066,2424,16206.0,56.6,77.2,1012,[-73.92737807  40.79732629]
199,36061019300,9327,4861,32236.0,32.1,71.6,4128,[-73.96193262  40.80046818]
200,36061019400,6861,3696,27273.0,54.5,70.6,2178,[-73.93389314  40.80028433]
201,36061019500,7608,4234,117045.0,12.3,76.0,4306,[-73.9689748   40.80335817]
202,36061019600,4327,2219,19045.0,37.3,80.2,1640,[-73.93861854  40.80285334]
203,36061019701,939,542,72000.0,36.9,70.3,430,[-73.95841574  40.80689969]
204,36061019702,2127,1026,63135.0,25.7,67.7,1229,[-73.95790983  40.80214705]
205,36061019800,2513,1302,70481.0,16.8,65.9,1345,[-73.94215504  40.80427241]
206,36061019900,9722,5748,76902.0,19.2,53.5,4163,[-73.96693706  40.8060178 ]
207,36061020000,3176,1889,66000.0,12.4,70.6,1783,[-73.94566341  40.80533757]
208,36061020101,1807,1010,82353.0,16.2,38.4,435,[-73.96007119  40.8063402 ]
209,36061020102,4290,2411,54563.0,18.5,71.8,2319,[-73.95721882  40.80501467]
210,36061020300,3142,1700,36667.0,26.6,35.4,790,[-73.96171226  40.80849847]
211,36061020500,5069,3392,111875.0,3.9,36.0,1740,[-73.96625464  40.81051192]
212,36061020600,2949,1374,39468.0,25.1,71.3,1311,[-73.93847231  40.80827763]
213,36061020701,3392,1928,60798.0,29.6,31.4,1478,[-73.95775343  40.80939875]
214,36061020800,5320,2562,42220.0,25.6,70.8,2695,[-73.94209055  40.80984229]
215,36061020901,4064,2206,32848.0,35.4,84.0,1474,[-73.95569539  40.8118227 ]
216,36061021000,7084,4028,29811.0,34.5,80.5,2560,[-73.93465071  40.81467584]
217,36061021100,10211,5137,53389.0,29.5,63.7,4337,[-73.96044848  40.8143358 ]
218,36061021200,4412,2467,52263.0,9.2,65.1,1972,[-73.93858051  40.81373207]
219,36061021303,6087,2854,37628.0,34.7,71.6,3146,[-73.95304545  40.81541494]
220,36061021400,3007,1822,44405.0,25.6,77.9,1726,[-73.93615741  40.81837747]
221,36061021500,3756,2028,33477.0,28.3,71.9,1410,[-73.94944605  40.81357188]
222,36061021600,8413,4444,46250.0,23.6,76.7,4158,[-73.95385781  40.8005813 ]
223,36061021703,8,8,,0.0,0.0,4,[-73.94969371  40.8170366 ]
224,36061021800,7569,3792,47155.0,39.0,75.6,3211,[-73.95238229  40.80287439]
225,36061021900,6401,3736,19025.0,43.0,86.0,1993,[-73.95741503  40.81773416]
226,36061022000,5379,2682,47808.0,22.5,76.5,2657,[-73.95020996  40.80560965]
227,36061022102,2351,1203,42284.0,14.5,73.8,1317,[-73.94601968  40.81876995]
228,36061022200,3089,1747,32361.0,42.8,80.3,1157,[-73.94830153  40.80821291]
229,36061022301,7967,4106,37500.0,24.6,85.0,4317,[-73.95692997  40.82170279]
230,36061022302,3432,2107,24241.0,36.8,71.6,1550,[-73.95835188  40.8206479 ]
231,36061022400,7962,4291,25000.0,45.5,73.6,2789,[-73.94693995  40.81185109]
232,36061022500,10269,5417,48157.0,27.2,73.9,5003,[-73.95529088  40.82397558]
233,36061022600,4235,2204,36627.0,34.4,78.4,1961,[-73.94522152  40.81334235]
234,36061022700,5319,2868,47597.0,26.8,77.8,2798,[-73.94634621  40.82285774]
235,36061022800,5814,3164,33910.0,30.5,66.0,2662,[-73.94270007  40.81599231]
236,36061022900,8598,4823,34898.0,28.8,70.7,4137,[-73.95282891  40.82630578]
237,36061023000,9259,4687,35569.0,27.7,70.6,4454,[-73.9409752   40.81856135]
238,36061023100,6890,3926,45262.0,22.1,81.7,3770,[-73.94367271  40.82595377]
239,36061023200,8370,4494,28800.0,30.2,71.7,3447,[-73.93951459  40.82034129]
240,36061023300,6808,3045,41552.0,26.0,73.0,3633,[-73.95149468  40.8285363 ]
241,36061023400,5225,2571,38854.0,31.7,73.6,2599,[-73.93829707  40.82356445]
242,36061023501,6647,2952,34846.0,41.3,72.9,2833,[-73.94159155  40.82919392]
243,36061023502,1840,945,29293.0,22.2,76.9,897,[-73.93892414  40.82770413]
244,36061023600,7004,4013,36540.0,18.5,77.5,2371,[-73.93520414  40.82410687]
245,36061023700,7450,3227,37232.0,17.2,78.3,4047,[-73.94887572  40.832248  ]
246,36061023801,9403,4986,86712.0,10.2,79.6,4970,[-73.95516036  40.75624538]
247,36061023802,2380,1191,114545.0,18.2,70.9,822,[-73.94463495  40.76800753]
248,36061023900,2810,1557,41036.0,22.6,64.1,1426,[-73.94048295  40.83242442]
249,36061024000,1688,244,,88.4,80.6,170,[-73.9258526   40.79182011]
250,36061024100,7911,4020,47957.0,25.7,56.7,4277,[-73.94793134  40.83512955]
251,36061024200,3972,2097,18275.0,48.2,78.4,1394,[-73.93245841  40.8053517 ]
252,36061024301,3926,1905,38067.0,32.5,69.5,1777,[-73.93866324  40.83539867]
253,36061024302,7239,4460,20371.0,42.6,68.6,2087,[-73.93567596  40.83158764]
254,36061024500,16231,7916,35394.0,30.8,64.3,7633,[-73.94263113  40.83646233]
255,36061024700,7960,4217,40559.0,22.9,68.9,3606,[-73.94724364  40.83778425]
256,36061024900,1324,758,37679.0,29.6,64.0,535,[-73.93570839  40.83978336]
257,36061025100,2629,1262,28688.0,32.7,68.6,1001,[-73.93915705  40.83981056]
258,36061025300,12189,6079,36780.0,27.9,66.8,5359,[-73.93967475  40.84337458]
259,36061025500,5420,2814,50228.0,28.8,49.4,2601,[-73.94538108  40.84649653]
260,36061025700,4446,2423,76686.0,10.9,75.3,2229,[-73.95364864  40.80877505]
261,36061025900,4155,1898,54913.0,25.0,68.0,2112,[-73.94234381  40.82288322]
262,36061026100,13496,6977,29702.0,34.2,68.0,5832,[-73.93381221  40.84628052]
263,36061026300,9715,4885,29308.0,29.1,61.7,4846,[-73.93696966  40.84734766]
264,36061026500,8056,3897,61695.0,16.5,77.5,4500,[-73.94096243  40.85000121]
265,36061026700,2342,787,39033.0,18.5,50.4,950,[-73.92885263  40.85004145]
266,36061026900,8651,3795,32585.0,22.3,67.2,4457,[-73.93083353  40.85041931]
267,36061027100,9704,4755,49750.0,27.6,60.5,4888,[-73.93519841  40.85279943]
268,36061027300,6935,3804,74621.0,17.0,68.0,3894,[-73.93675196  40.85523078]
269,36061027500,3712,1871,91552.0,7.7,56.8,1916,[-73.94321453  40.85287081]
270,36061027700,7558,4410,28449.0,38.6,73.0,2624,[-73.92682034  40.85675683]
271,36061027900,11069,6145,48242.0,14.9,65.5,5983,[-73.93163403  40.85707573]
272,36061028100,3190,1578,107727.0,5.2,68.6,1786,[-73.93432472  40.85831357]
273,36061028300,7720,3975,49612.0,12.3,68.9,4300,[-73.92777643  40.85910979]
274,36061028500,7778,4131,36500.0,28.1,76.1,3585,[-73.92791652  40.86136331]
275,36061028700,4135,2051,46891.0,26.7,74.5,2344,[-73.93320994  40.8643681 ]
276,36061029100,12337,6536,28743.0,28.9,66.3,5203,[-73.92372599  40.86332735]
277,36061029300,9381,5071,32509.0,31.3,63.6,4229,[-73.91961708  40.86545505]
278,36061029500,8164,4105,65160.0,14.7,65.3,4653,[-73.92461881  40.86766234]
279,36061029700,48,24,,,,0,[-73.92061486  40.87422914]
280,36061029900,4581,2450,23661.0,37.6,76.8,1530,[-73.92207943  40.85600448]
281,36061030300,4670,2280,54718.0,32.6,69.9,2382,[-73.91902605  40.86942374]
282,36061030700,3495,1621,71250.0,5.3,70.8,2048,[-73.91613603  40.87112372]
283,36061030900,9398,5145,27513.0,30.4,60.0,4022,[-73.91174514  40.87461055]
284,36061031100,0,0,,,,0,[-73.93124422  40.84509013]
285,36061031703,8875,4408,182401.0,4.3,45.1,5044,[-74.01589665  40.71501148]
286,36061031704,6887,3508,152692.0,3.8,60.3,4589,[-74.0178315   40.70694064]
287,36061031900,0,0,,,,0,[-74.01525462  40.70212097]
288,36085000300,1738,821,59688.0,18.4,50.3,888,[-74.07282713  40.64271624]
289,36085000600,2297,1246,31655.0,18.0,24.1,1057,[-74.0654166   40.61673274]
290,36085000700,5997,3082,43855.0,35.4,55.6,2576,[-74.0837174   40.64594472]
291,36085000800,5678,2965,76524.0,11.3,32.5,2548,[-74.06845038  40.61276349]
292,36085000900,1860,902,52500.0,17.8,65.1,807,[-74.08256995  40.64187861]
293,36085001100,3032,1654,44342.0,23.2,40.5,1245,[-74.0839516  40.6382689]
294,36085001700,1518,765,42716.0,25.4,38.3,714,[-74.08070374  40.63529807]
295,36085001800,615,287,65909.0,0.0,8.0,193,[-74.05614028  40.60212058]
296,36085002001,2530,1241,84135.0,4.7,40.8,1328,[-74.07027805  40.60660927]
297,36085002002,3470,1776,87188.0,13.2,37.8,1657,[-74.07037425  40.60122517]
298,36085002100,3627,1775,53386.0,25.1,48.8,1666,[-74.07677058  40.63115395]
299,36085002700,2218,1013,26611.0,36.9,46.9,621,[-74.07611495  40.62377406]
300,36085002900,5781,3164,30096.0,32.1,46.7,2431,[-74.08437624  40.61827489]
301,36085003300,3756,1996,70875.0,9.9,47.9,1833,[-74.08871102  40.62243741]
302,36085003600,2608,1262,70375.0,11.6,46.8,1267,[-74.0758114   40.61067415]
303,36085003900,2495,1233,60650.0,12.9,44.5,1069,[-74.09354939  40.61905828]
304,36085004000,12668,7225,42148.0,29.2,47.5,4635,[-74.07896332  40.6148153 ]
305,36085004700,3205,1694,66528.0,3.7,31.4,1319,[-74.09358818  40.61537787]
306,36085005000,3690,1988,70893.0,6.3,26.8,1639,[-74.08669705  40.60370614]
307,36085005900,2900,1530,100645.0,10.2,25.0,1326,[-74.0999307   40.62528336]
308,36085006400,3217,1823,52000.0,17.8,38.0,1151,[-74.07936996  40.59812442]
309,36085006700,2609,1207,94583.0,10.0,35.5,1365,[-74.10030381  40.63499381]
310,36085007000,8963,4716,63592.0,17.8,28.4,3444,[-74.07490551  40.58193179]
311,36085007400,4846,2602,80268.0,14.6,36.8,2379,[-74.06471966  40.59408856]
312,36085007500,4606,2046,48226.0,26.1,42.9,1503,[-74.09118115  40.63420546]
313,36085007700,1338,641,51595.0,26.3,27.2,483,[-74.08863454  40.63754055]
314,36085008100,4074,2075,35031.0,29.6,47.9,1369,[-74.09103012  40.64373116]
315,36085009601,3744,2074,61039.0,16.1,31.3,1473,[-74.08757676  40.5977141 ]
