,CensusTract,TotalPop,Women,Income,Poverty,Transit,Employed,center_loc
316,36085009602,3462,1620,76212.0,2.3,34.8,1594,[-74.09562478  40.59103543]
317,36085009700,4316,2129,70556.0,18.6,25.4,1755,[-74.11293671  40.64184134]
318,36085010500,4857,2410,62697.0,17.4,29.6,1931,[-74.11186056  40.63520835]
319,36085011201,5855,2938,83913.0,1.9,35.0,2810,[-74.08404527  40.57822825]
320,36085011202,5839,2990,74964.0,12.3,25.4,2431,[-74.09648056  40.57125715]
321,36085011401,2884,1574,28802.0,30.6,43.5,1163,[-74.09928085  40.58623284]
322,36085011402,3722,1813,74707.0,6.1,39.0,1862,[-74.10491527  40.58071253]
323,36085012100,3448,1703,111629.0,13.1,16.6,1636,[-74.10871383  40.62602195]
324,36085012200,3714,1851,91563.0,4.1,26.7,1787,[-74.11267894  40.57648088]
325,36085012500,2668,1439,82155.0,11.6,37.3,1243,[-74.11817236  40.62762009]
326,36085012804,4042,2050,61406.0,9.1,32.1,1886,[-74.10119164  40.56252467]
327,36085012805,2940,1634,73878.0,5.6,25.3,1390,[-74.11991376  40.55667313]
328,36085012806,6033,3258,70505.0,8.4,28.5,2843,[-74.10801479  40.55817549]
329,36085013201,1546,865,103889.0,4.3,36.0,707,[-74.12280816  40.56478602]
330,36085013203,5766,2863,84596.0,8.6,27.6,2535,[-74.14392168  40.54954152]
331,36085013204,4837,2729,86429.0,8.8,29.2,2281,[-74.12769691  40.56017284]
332,36085013301,1531,978,14030.0,68.3,72.8,261,[-74.11852945  40.63579119]
333,36085013302,3576,1735,44861.0,17.6,30.7,1411,[-74.12335552  40.63796188]
334,36085013400,3651,1783,73328.0,8.4,23.6,1748,[-74.11872375  40.57062609]
335,36085013800,6098,3177,85592.0,1.8,31.6,2596,[-74.12851461  40.57147938]
336,36085014100,2344,1282,50417.0,25.5,48.8,1002,[-74.12679971  40.62920597]
337,36085014604,7468,3879,80705.0,9.3,26.4,3480,[-74.15938856  40.54980055]
338,36085014605,3672,1876,91129.0,4.3,20.1,1662,[-74.14991674  40.55716582]
339,36085014606,7325,3609,96833.0,6.7,28.4,3709,[-74.14275001  40.56113814]
340,36085014607,4909,2499,81883.0,9.6,16.0,2178,[-74.16491147  40.5567126 ]
341,36085014608,3795,1897,91270.0,5.1,29.4,1728,[-74.15647807  40.55970937]
342,36085014700,3432,1697,82917.0,6.6,21.7,1723,[-74.11693164  40.61962817]
343,36085015100,4818,2516,86928.0,5.5,28.6,2293,[-74.12753706  40.61851934]
344,36085015400,0,0,,,,0,[-74.12996492  40.54040445]
345,36085015601,6559,3366,97969.0,5.7,29.3,3036,[-74.15309511  40.5433448 ]
346,36085015602,3446,1829,84063.0,2.4,20.4,1454,[-74.1620603   40.53646982]
347,36085015603,4596,2382,90604.0,8.9,30.2,2369,[-74.14232642  40.54099676]
348,36085016901,3283,1639,73272.0,7.4,32.2,1464,[-74.11029032  40.612098  ]
349,36085017005,4656,2564,100162.0,4.2,22.8,2443,[-74.17880092  40.53850188]
350,36085017007,5351,2619,77955.0,7.6,28.5,2574,[-74.18746712  40.5609254 ]
351,36085017008,7457,4031,83734.0,4.5,23.3,3333,[-74.17942638  40.55683109]
352,36085017009,4405,2073,91000.0,8.5,16.1,1946,[-74.18995145  40.54348917]
353,36085017010,9085,4840,90747.0,7.7,20.4,4237,[-74.19731551  40.55253679]
354,36085017011,4616,2504,74819.0,7.0,20.4,2226,[-74.16955299  40.54474707]
355,36085017012,4802,2315,71123.0,9.0,29.0,1932,[-74.17347198  40.55335018]
356,36085017300,2529,1346,38011.0,20.2,29.5,801,[-74.11863456  40.60624438]
357,36085017600,4980,2490,102561.0,3.7,20.0,2380,[-74.17114551  40.52922617]
358,36085017700,6918,3483,104458.0,4.3,19.3,3187,[-74.10480955  40.60239911]
359,36085018100,3031,1585,90909.0,14.0,22.6,1170,[-74.12103496  40.58736469]
360,36085018701,1742,927,78750.0,13.0,27.2,771,[-74.12687307  40.6107924 ]
361,36085018702,7200,4028,83304.0,4.4,28.1,3507,[-74.12499653  40.60390162]
362,36085018901,5199,2796,62000.0,12.7,19.4,2028,[-74.13972335  40.61232059]
363,36085018902,5180,2567,67813.0,11.2,23.4,2364,[-74.1405127   40.60570561]
364,36085019700,1803,889,88333.0,4.4,18.7,843,[-74.13447472  40.61628072]
365,36085019800,6690,3152,90625.0,5.3,23.5,3104,[-74.2035889   40.51370375]
366,36085020100,3534,1672,82350.0,15.0,18.6,1544,[-74.13433349  40.62414263]
367,36085020700,6178,3132,36287.0,33.4,45.9,2302,[-74.12605706  40.64106935]
368,36085020801,9138,4530,75453.0,19.6,22.3,3924,[-74.2106563   40.55067894]
369,36085020803,6191,3191,91782.0,7.6,25.3,2806,[-74.2110806   40.53136479]
370,36085020804,5602,2954,88314.0,7.8,24.2,2390,[-74.19946479  40.53541096]
371,36085021300,4878,2306,52222.0,27.8,38.8,2061,[-74.13935841  40.63281509]
372,36085022300,2627,1423,60511.0,15.1,38.7,1140,[-74.1522543   40.63784956]
373,36085022600,9032,4302,93589.0,2.8,25.8,4152,[-74.23370452  40.54282641]
374,36085022800,39,35,,0.0,0.0,35,[-74.20281846  40.56831429]
375,36085023100,4267,2181,69113.0,19.4,34.6,1578,[-74.15676744  40.62958543]
376,36085023900,3310,1580,59786.0,22.7,35.5,1649,[-74.14807235  40.62969095]
377,36085024401,6408,3653,76787.0,4.4,16.5,2703,[-74.24151544  40.51056278]
378,36085024402,4241,2218,75167.0,6.5,17.2,2046,[-74.2360283   40.50072013]
379,36085024700,2691,1419,63162.0,14.4,30.1,1344,[-74.14223573  40.62743278]
380,36085024800,4908,2368,76270.0,8.2,23.3,2077,[-74.24546744  40.51624018]
381,36085025100,5879,2880,95239.0,5.2,24.8,2734,[-74.14693421  40.61795387]
382,36085027301,3810,1955,71724.0,16.9,36.1,1845,[-74.15088309  40.60108804]
383,36085027302,3355,1628,91023.0,10.1,20.6,1607,[-74.13769273  40.59619292]
384,36085027702,6542,3505,65764.0,11.1,25.9,3149,[-74.16418495  40.58178686]
385,36085027704,4357,2183,99107.0,4.9,22.0,2159,[-74.15015395  40.58610473]
386,36085027705,5644,3056,87800.0,5.5,31.1,2660,[-74.15687402  40.58810619]
387,36085027706,3525,1757,82308.0,7.5,25.1,1730,[-74.16185471  40.59199286]
388,36085027900,1972,1198,91500.0,7.5,12.9,739,[-74.14308834  40.5757307 ]
389,36085029102,2814,1496,84559.0,5.9,25.2,1313,[-74.19996292  40.60466067]
390,36085029103,7644,3762,73611.0,5.5,23.4,3688,[-74.16617799  40.60246333]
391,36085029104,7273,3963,89511.0,7.2,24.0,3420,[-74.16129708  40.61215219]
392,36085030301,4895,2524,65606.0,8.7,35.3,2298,[-74.15541161  40.61992145]
393,36085030302,6279,3186,76542.0,19.0,35.1,2668,[-74.15826612  40.62362685]
394,36085031901,2550,1597,25064.0,39.3,49.4,710,[-74.16326652  40.62939967]
395,36085031902,4611,2568,22656.0,41.2,44.5,1308,[-74.1644884   40.63943542]
396,36085032300,1131,534,56406.0,20.5,32.8,534,[-74.17910713  40.64197228]
397,36085990100,0,0,,,,0,[-74.0506865   40.56632375]
